genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Opera,Jean-Philippe Rameau,"Suite No. 2 en mi mineur, RCT 2: VIII. Tambourin",2xaZEIHslcu7knVzR9M5GI,8,0.857,0.519,77840,0.466,0.022,A#,0.158,-17.769,Minor,0.0291,115.974,04-Apr,0.967
Opera,Jean-Philippe Rameau,"Hippolyte et Aricie / Act 4: ""Quelle plainte en ces lieux m'appelle?""",3rHCc2zYXh09KFkRxunFji,5,0.968,0.402,247160,0.239,6.39E-06,F,0.104,-17.365,Minor,0.0683,60.466,03-Apr,0.119
Opera,Anne Sofie von Otter,Butterfly Wings,4uOojQ3YT5ty4qJpegJrgS,4,0.945,0.382,222080,0.109,1.12E-05,C#,0.107,-18.505,Major,0.0409,121.332,03-Apr,0.213
Opera,Alessandro Scarlatti,"Sei Concerti in sette parte per due violini e violoncello obligato, con in piu due violini, un tenore e basso continuo, Concerto grosso No. 6 in E major: IV. Affettuoso",4xibR5culebIuL0C2FfviZ,7,0.86,0.28,228067,0.0803,0.101,D#,0.164,-18.473,Major,0.0404,68.449,04-Apr,0.386
Opera,Tomaso Albinoni,"12 Trio Sonatas, Op. 1, Sonata II in F Major, Talm I, 2: I. Grave",5BY2Tsdl6Zy6RDF4QL3HMf,11,0.878,0.121,114240,0.0925,0.000851,F,0.101,-18.122,Major,0.0384,92.73,03-Apr,0.11
Opera,Tomaso Albinoni,"Lontan da te mia vita, T. 204 No. 6: No. 3, Deh se i pianti e i sospiri",5ksRzzQxyJVSNicBRclej1,14,0.97,0.475,44240,0.16,0,F#,0.216,-14.497,Minor,0.063,105.516,01-Apr,0.271
Opera,Jean-Baptiste Lully,Xerxes Ballet: Air pour les esclaves dansants,5nKRImCbUXUQSSeaX6g3Gf,15,0.542,0.269,131333,0.0363,0.000156,C#,0.157,-20.383,Major,0.0431,112.362,04-Apr,0.333
Opera,Jean-Philippe Rameau,"Castor et Pollux, RCT 32, Acte II, Scène 2: ""Tristes apprêts, pâles flambeaux"" (Télaïre)",61YqaFLObn0hlqa131KlxF,13,0.98,0.155,324147,0.0576,0.0195,D,0.322,-22.692,Major,0.044,80.386,03-Apr,0.0354
Opera,Jean-Philippe Rameau,"Hippolyte et Aricie, RCT 43, Acte I, Scène I: Prélude - Air accompagné ""Temple sacré, séjour tranquille""",66KmxHMIbGCo0P3gHBQ3IK,14,0.971,0.289,165200,0.177,0.0021,C#,0.109,-17.119,Major,0.0471,116.148,04-Apr,0.213
Opera,Tomaso Albinoni,"Violin Sonata in B-Flat Major, T. So 32: II. Allegro",6Ho7rh4FMOSFjSrpoVI9ua,15,0.959,0.441,205440,0.439,8.64E-05,A,0.0922,-13.325,Major,0.0411,108.508,04-Apr,0.924
Opera,Tomaso Albinoni,"Trattenimenti armonici per camera, divisi in dodici sonate à violino, violone e cembalo, Opera sexta, Sonata No. 2 in G Minor: II. Larghetto",6fYazqoIjh1npXWCxiYLvL,11,0.861,0.383,289560,0.234,0.047,G,0.154,-18.49,Minor,0.0497,139.768,04-Apr,0.41
Opera,Jean-Philippe Rameau,Suite en Sol: L'Egyptienne,6qtW6dVEhOR59lpDL62Z1c,11,0.993,0.23,181347,0.123,0.897,G,0.135,-24.688,Minor,0.0418,65.029,04-Apr,0.533
